Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Investor 1,Investor 2,Investor 3,Investor 4,No of Investors
Enflame,$2B,05-01-2021,Hardware,Shanghai,China,Asia,2018,$472M,Tencent Holdings, Delta Capital, Redpoint Ventures China,,3
Tradeshift,$2B,30-05-2018,Fintech,San Francisco,United States,North America,2009,$861M,Notion Capital, Scentan Ventures, Kite Ventures,,3
HeartFlow,$2B,04-12-2017,Health,Redwood City,United States,North America,2007,$568M,BlueCross BlueShield Venture Partners, US Venture Partners,,,2
Extend,$2B,18-05-2021,Fintech,San Francisco,United States,North America,2004,$320M,GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures,,3
Airbyte,$2B,17-12-2021,Internet software & services,San Francisco,United States,North America,2020,$181M,Accel, Benchmark, SV Angel,,3
Andela,$2B,29-09-2021,Internet software & services,New York,United States,North America,2014,$381M,Spark Capital, Google Ventures, CRE Venture Capital,,3
Ascend Money,$2B,27-09-2021,Fintech,Bangkok,Thailand,Asia,2013,$150M,Ant Group, Charoen Pokphand Group, Bow Wave Capital,,3
Athelas,$2B,31-01-2022,Health,Mountain View,United States,North America,2016,$150M,Sequoia Capital, General Catalyst, Human Capital,,3
Built,$2B,30-09-2021,Internet software & services,Nashville,United States,North America,2015,$289M,Nyca Partners, Index Ventures, Technology Crossover Ventures,,3
candy.com,$2B,21-10-2021,Fintech,New York,United States,North America,2021,$100M,Insight Partners, Softbank Group, Connect Ventures,,3
Cognite,$2B,19-05-2021,Data management & analytics,Lysaker,Norway,Europe,2016,$225M,Technology Crossover Ventures, Accel, Aker,,3
CoinList,$2B,15-10-2021,Fintech,San Francisco,United States,North America,2017,$119M,Accomplice, Polychain Capital, GoldenTree Asset Management,,3
Collective Health,$2B,17-06-2019,Fintech,San Francisco,United States,North America,2013,$719M,New Enterprise Associates, Founders Fund, Google Ventures,,3
Culture Amp,$2B,29-07-2021,Internet software & services,Richmond,Australia,Oceania,2011,$257M,Felicis Ventures, Index Ventures, Blackbird Ventures,,3
Devo,$2B,26-10-2021,Data management & analytics,Cambridge,United States,North America,2011,$381M,Insight Partners, Kibo Ventures, Bessemer Venture Partners,,3
ElasticRun,$2B,07-02-2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,$435M,Kalaari Capital, Norwest Venture Partners, Prosus Ventures,,3
Gett,$2B,24-05-2016,Auto & transportation,London,United Kingdom,Europe,2010,$828M,Volkswagen, Access Industries, Vostok New Ventures,,3
ID.me,$2B,19-03-2021,Cybersecurity,McLean,United States,North America,2010,$142M,Moonshots Capital, BoxGroup, Blu Venture Investors,,3
impact.com,$2B,13-07-2021,Internet software & services,Santa Barbara,United States,North America,2008,$261M,Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners,,3
Ledger,$2B,10-06-2021,Hardware,Paris,France,Europe,2014,$466M,Digital Currency Group, Draper Esprit, Korelya Capital,,3
Lusha,$2B,10-11-2021,Internet software & services,New York,United States,North America,2016,$245M,PSG, ION Crossover Partners,,,2
Matillion,$2B,15-09-2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,$310M,Scale Venture Partners, Sapphire Ventures, Battery Ventures,,3
MOLOCO,$2B,29-04-2021,Artificial intelligence,Redwood City,United States,North America,2013,$192M,Smilegate Investment, DSC Investments, KTB Ventures,,3
Mu Sigma,$2B,07-02-2013,Data management & analytics,Northbrook,United States,North America,2004,$211M,Sequoia Capital, General Atlantic,,,2
Next Silicon,$2B,14-06-2021,Hardware,Tel Aviv,Israel,Asia,2018,$203M,Amiti Ventures, Playground Global, Aleph,,3
NotCo,$2B,26-07-2021,Artificial Intelligence,Santiago,Chile,South America,2015,$370M,Kaszek Ventures, SOSV, Tiger Global Management,,3
Olist,$2B,15-12-2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,$320M,Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund,,3
Pacaso,$2B,24-03-2021,Fintech,Cincinnati,United States,North America,2020,$217M,Global Founders Capital, Shea Ventures, Greycroft,,3
Paradox,$2B,27-12-2021,Internet software & services,Scottsdale,United States,North America,2016,$253M,Brighton Park Capital, Blue Cloud Ventures, Workday Ventures,,3
Persona,$2B,15-09-2021,Cybersecurity,San Francisco,United States,North America,2018,$218M,Coatue Management, Index Ventures, Founders Fund,,3
SmartRecruiters,$2B,20-07-2021,Internet software & services,San Francisco,United States,North America,2010,$225M,Mayfield Fund, Insight Partners, Rembrandt Venture Partners,,3
Snapdocs,$2B,25-05-2021,Fintech,San Francisco,United States,North America,2012,$253M,Sequoia Capital, Y Combinator, F-Prime Capital,,3
Solugen,$2B,10-09-2021,Other,Houston,United States,North America,2016,$435M,Fifty Years Fund, Refactor Capital, Temasek,,3
StoreDot,$2B,04-01-2022,Other,Herzliya,Israel,Asia,2012,$190M,Samsung Ventures, SingulariTeam, BP Ventures,,3
Strava,$2B,16-11-2020,Internet software & services,San Francisco,United States,North America,2009,$152M,Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital,,3
Temporal,$2B,16-02-2022,Internet software & services,Bellevue,United States,North America,2019,$129M,Amplify Partners, Addition, Madrona Venture Group,,3
TuJia,$2B,17-06-2015,Travel,Beijing,China,Asia,2011,$755M,GGV Capital, QiMing Venture Partnersl,,,2
Uplight,$2B,03-03-2021,Other,Boulder,United States,North America,2019,Unknown,Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners,,3
Veho,$2B,21-12-2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,$299M,General Catalyst, Origin Ventures, Fontinalis Partners,,3
Veriff,$2B,26-01-2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,$177M,Accel, Institutional Venture Partners, Tiger Global Management,,3
Whatnot,$2B,16-09-2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,$225M,Y Combinator, Andreessen Horowitz, Wonder Ventures,,3
Zenoti,$2B,15-12-2020,Internet software & services,Bellevue,United States,North America,2010,$331M,Norwest Venture Partners, Accel, Tiger Global Management,,3
Zeta,$2B,24-05-2021,Fintech,San Francisco,United States,North America,2015,$340M,Sodexo Ventures, SoftBank Group,,,2
Loom,$2B,20-05-2021,Internet software & services,San Francisco,United States,North America,2016,$204M,Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst,,3
Mobile Premier League,$2B,15-09-2021,Internet software & services,Bengaluru,India,Asia,2018,$376M,Sequoia Capital India, RTP Global, Go-Ventures,,3
Uala,$2B,13-08-2021,Fintech,Buenos Aires,Argentina,South America,2017,$544M,Soros Fund Management, Ribbit Capital, Monashees+,,3
Wenheyou,$2B,17-04-2021,Other,Hunan,China,Asia,2013,$90M,Sequoia Capital China, Warburg Pincus, IDG Capital,,3
Star Charge,$2B,19-05-2021,Auto & transportation,Changzhou,China,Asia,2014,$125M,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,,3
ABL Space Systems,$2B,25-03-2021,Other,El Segundo,United States,North America,2017,$419M,T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment,,3
Afiniti,$2B,14-04-2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,$120M,GAM Holding,,,,1
ASAPP,$2B,19-05-2021,Artificial intelligence,New York,United States,North America,2014,$380M,March Capital Partners, HOF Capital, Emergence Capital Partners,,3
BitSight Technologies,$2B,13-09-2021,Cybersecurity,Boston,United States,North America,2013,$401M,Menlo Ventures, GGV Capital, Flybridge Capital Partners,,3
Cao Cao Mobility,$2B,17-01-2018,Auto & transportation,Hangzhou,China,Asia,2015,$744M,People Electrical Appliance Group China, Zhongrong International Trust,,,2
Capitolis,$2B,22-03-2022,Fintech,New York,United States,North America,2017,$282M,Sequoia Capital, Index Ventures, S Capital,,3
Carbon,$2B,20-08-2015,Hardware,Redwood City,United States,North America,2013,$682M,Google Ventures, Sequoia Capital, Wakefield Group,,3
Clio,$2B,27-04-2021,Internet software & services,Burnaby,Canada,North America,2008,$386M,OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures,,3
Cresta,$2B,17-03-2022,Artificial Intelligence,San Francisco,United States,North America,2017,$151M,Andreessen Horowitz, Greylock Partners, Sequoia Capital,,3
Exabeam,$2B,01-06-2021,Cybersecurity,Foster City,United States,North America,2013,$390M,Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners,,3
ezCater,$2B,02-04-2019,"Supply chain, logistics, & delivery",Boston,United States,North America,2007,$421M,Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group,,3
HomeLight,$2B,02-09-2021,Fintech,San Francisco,United States,North America,2012,$219M,Zeev Ventures, Menlo Ventures,Crosslink Capital,,3
HoneyBook,$2B,04-05-2021,Internet software & services,San Francisco,United States,North America,2013,$498M,Norwest Venture Partners, Hillsven Capital, Aleph,,3
Infinidat,$2B,29-04-2015,Hardware,Waltham,United States,North America,2011,$325M,TPG Growth, Goldman Sachs,,,2
Mercury,$2B,03-07-2021,Fintech,San Francisco,United States,North America,2019,$152M,Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures,,3
Paxos,$2B,29-04-2021,Fintech,New York,United States,North America,2012,$538M,Liberty City Ventures, RRE Ventures, Mithril Capital Management,,3
SafetyCulture,$2B,03-05-2021,Internet software & services,Sydney,Australia,Oceania,2004,$222M,Blackbird Ventures, IndexVentures, Tiger Global Management,,3
SmartHR,$2B,08-06-2021,Fintech,Tokyo,Japan,Asia,2013,$190M,BEENEXT, World Innovation Lab, Light Street Capital,,3
Tonal,$2B,31-03-2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2015,$450M,Mayfield Fund, Shasta Ventures, L Catterton,,3
Truepill,$2B,27-10-2021,Health,Hayward,United States,North America,2016,$255M,Initialized Capital, Sound Ventures, TI Platform Management,,3
Unite Us,$2B,16-03-2021,Health,New York,United States,North America,2014,$195M,Insight Partners, Sequoia Capital, Index Ventures,,3
Verkada,$2B,29-01-2020,Cybersecurity,San Mateo,United States,North America,2016,$139M,next47, First Round Capital, Sequoia Capital,,3
Wayflyer,$2B,01-02-2022,Fintech,Dublin,Ireland,Europe,2019,$236M,QED Investors, DST Global, Left Lane Capital,,3
Zhubajie,$2B,16-06-2015,Internet software & services,Chongqing,China,Asia,2006,$445M,Cybernaut Growth Fund, IDG Capital,,,2
Transcarent,$2B,11-01-2022,Health,San Francisco,United States,North America,2020,$298M,Alta Partners, General Catalyst, Jove Equity Partners,,3
Trader Interactive,$2B,12-05-2021,Other,Norfolk,United States,North America,2017,$624M,Carsales,,,,1
Glossier,$2B,19-03-2019,Consumer & retail,New York,United States,North America,2014,$266M,Forerunner Ventures, Institutional Venture Partners, Thrive Capital,,3
Hibob,$2B,12-10-2021,Internet software & services,Tel Aviv,Israel,Asia,2015,$274M,Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures,,3
Jobandtalent,$2B,01-12-2021,Internet software & services,Madrid,Spain,Europe,2009,$902M,Kibo Ventures, SoftBank Group, Atomico,,3
Optimism,$2B,17-03-2022,Internet software & services,San Francisco,United States,North America,2019,$179M,Paradigm, Huobi Ventures, Andreessen Horowitz,,3
solarisBank,$2B,13-07-2021,Fintech,Berlin,Germany,Europe,2016,$403M,Yabeo Capital, SBI Investment, Vulcan Capital,,3
WEMAKEPRICE,$2B,09-09-2015,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2009,$397M,IMM Investment, NXC,,,2
Alan,$2B,19-04-2021,Fintech,Paris,France,Europe,2016,$364M,Index Ventures, Temasek, Portag3 Ventures,,3
Biren Technology,$2B,18-08-2020,Hardware,Shanghai,China,Asia,2019,$285M,V FUND, IDG Capital, Green Pine Capital Partners,,3
Voodoo,$2B,17-08-2020,Other,Paris,France,Europe,2013,$517M,Tencent Holdings, Goldman Sachs,,,2
Carsome,$2B,12-07-2021,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,2015,$577M,Gobi Partners, 500 Startups, Ondine Capital,,3
CircleCI,$2B,11-05-2021,Internet software & services,San Francisco,United States,North America,2011,$315M,Threshold Ventures, Baseline Ventures, Harrison Metal,,3
DealShare,$2B,27-01-2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2018,$612M,Alpha Wave Global, Matrix Partners India, Tiger Global Management,,3
DispatchHealth,$2B,03-03-2021,Health,Denver,United States,North America,2013,$403M,Alta Partners, Questa Capital, Echo Health Venturesl,,3
Dragos,$2B,28-10-2021,Cybersecurity,Hanover,United States,North America,2016,$358M,DataTribe, Energy Impact Partners, AllegisCyber Capital,,3
Gousto,$2B,03-11-2020,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,2012,$311M,MMC Ventures, BGF Ventures, Unilever Ventures,,3
H2O.ai,$2B,07-11-2021,Artificial intelligence,Mountain View,United States,North America,2011,$251M,Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners,,3
Harness,$2B,14-01-2021,Artificial intelligence,San Francisco,United States,North America,2016,$195M,Menlo Ventures, Alkeon Capital Management, Citi Ventures,,3
Harry's,$2B,16-02-2018,Consumer & retail,New York,United States,North America,2013,$792M,Thrive Capital, Tiger Global Management, Temasek,,3
PAX,$2B,22-10-2018,Consumer & retail,San Francisco,United States,North America,2007,$542M,Tao Capital Partners, Global Asset Capital, Tiger Global Management,,3
Productboard,$2B,02-02-2022,Internet software & services,San Francisco,United States,North America,2014,$261M,Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners,,3
Reltio,$2B,04-11-2021,Data management & analytics,Redwood City,United States,North America,2011,$237M,Crosslink Capital, .406 Ventures, Sapphire Ventures,,3
Spotter,$2B,16-02-2022,Fintech,Los Angeles,United States,North America,2019,$231M,SoftBank Group, Access Industries, Crossbeam Venture Partners,,3
Vestiaire Collective,$2B,01-03-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2009,$663M,Eurazeo, IDInvest Partners, Balderton Capital,,3
Wave,$2B,07-09-2021,Fintech,Dakar,Senegal,Africa,2018,$200M,Stripe, Founders Fund, Partech Partners,,3
ZenBusiness,$2B,09-11-2021,Fintech,Austin,United States,North America,2015,$275M,Greycroft, Lerer Hippeau, Geekdom Fund,,3
Bowery Farming,$2B,25-05-2021,Other,New York,United States,North America,2015,$497M,Temasek, Google Ventures, General Catalyst,,3
Greenlight,$2B,24-09-2020,Fintech,Atlanta,United States,North America,2014,$557M,Relay Ventures, TTV Capital, Canapi Ventures,,3
KeepTruckin,$2B,23-04-2019,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$417M,Google Ventures, Index Ventures, Scale Venture Partners,,3
Odoo,$2B,29-07-2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,$229M,Summit Partners, Noshaq, Sofinnova Partners,,3
Skydance Media,$2B,11-02-2020,Other,Santa Monica,United States,North America,2010,$275M,RedBird Capital Partners, CJ ENM, Tencent Holdings,,3
Uptake,$2B,27-10-2015,Artificial intelligence,Chicago,United States,North America,2014,$218M,Revolution, New Enterprise Associates, Caterpillar,,3
MoMo,$2B,10-12-2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,$434M,Goodwater Capital, Warburg Pincus, GS Growth,,3
Algolia,$2B,28-07-2021,Internet software & services,San Francisco,United States,North America,2012,$334M,Accel, Alven Capital, Storm Ventures,,3
Pattern,$2B,06-10-2021,Internet software & services,Lehi,United States,North America,2013,$277M,Knox Lane, Ainge Advisory, Carlson Private Capital Partners,,3
Spinny,$2B,24-11-2021,E-commerce & direct-to-consumer,Gurugram,India,Asia,2015,$509M,General Catalyst, Eleation Capital, Avenir Growth Capital,,3
Trulioo,$2B,07-06-2021,Cybersecurity,Vancouver,Canada,North America,2011,$474M,Blumberg Capital, American Express Ventures, BDC Venture Capital,,3
Zume,$2B,01-11-2018,Consumer & retail,Mountain View,United States,North America,2015,$423M,Softbank Group, AME Cloud Ventures, SignalFire,,3
AIWAYS,$2B,16-04-2018,Auto & transportation,Shanghai,China,Asia,2017,$792M,Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology,,3
Bitso,$2B,05-05-2021,Fintech,Mexico City,Mexico,North America,2014,$378M,Pantera Capital, QED Investors, Coinbase Ventures,,3
BloomReach,$2B,23-02-2022,Artificial intelligence,Mountain View,United States,North America,2009,$422M,Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners,,3
Current,$2B,27-04-2021,Fintech,New York,United States,North America,2015,$402M,Expa, QED Investors, Foundation Capital,,3
Dialpad,$2B,06-10-2020,Internet software & services,San Francisco,United States,North America,2011,$400M,Andreessen Horowitz, Google Ventures, Section 32,,3
G7 Networks,$2B,15-02-2022,"Supply chain, logistics, & delivery",Beijing,China,Asia,2006,$710M,Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners,,3
Gympass,$2B,12-06-2019,Internet software & services,New York,United States,North America,2012,$525M,General Atlantic, SoftBank Group, Atomico,,3
MUSINSA,$2B,11-11-2019,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2001,$287M,Sequoia Capital,,,,1
NuCom Group,$2B,22-02-2018,Other,Unterfoehring,Germany,Europe,2016,$550M,General Atlantic,,,,1
Reify Health,$2B,10-08-2021,Health,Boston,United States,North America,2012,$259M,Sierra Ventures, Battery Ventures, Asset Management Ventures,,3
Diamond Foundry,$2B,29-03-2021,Other,San Francisco,United States,North America,2012,$351M,Fashion Tech Lab, Fidelity Investments, Vast Ventures,,3
FullStory,$2B,04-08-2021,Internet software & services,Atlanta,United States,North America,2014,$172M,Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group,,3
Lightricks,$2B,31-07-2019,Artificial intelligence,Jerusalem,Israel,Asia,2013,$305M,Viola Ventures, Insight Partners, ClalTech, Goldman Sachs,4
Opentrons,$2B,23-09-2021,Hardware,New York,United States,North America,2016,$240M,SOSV, Khosla Ventures, Lerer Hippeau,,3
ZocDoc,$2B,20-08-2015,Health,New York,United States,North America,2007,$374M,Founders Fund, Khosla Ventures, Goldman Sachs,,3
Accelerant,$2B,12-01-2022,Other,Colchester,United Kingdom,Europe,2018,$193M,Deer Park Road, Altamont Capital Partners, Eldridge,,3
Huaqin Telecom Technology,$2B,08-10-2019,Mobile & telecommunications,Shanghai,China,Asia,2005,$298M,Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital,,3
Addepar,$2B,15-06-2021,Fintech,Mountain View,United States,North America,2009,$676M,8VC, D1 Capital Partners, Sway Ventures,,3
YITU Technology,$2B,08-03-2018,Artificial intelligence,Shanghai,China,Asia,2012,$401M,Sequoia Capital China, Banyan Capital,,,2
CloudWalk,$2B,08-09-2021,Fintech,Sao Paulo,Brazil,South America,2015,$345M,Plug and Play Ventures, Valor Capital Group, DST Global,,3
Retool,$2B,22-12-2021,Internet software & services,San Francisco,United States,North America,2000,$96M,Sequoia Capital,,,,1
Volocopter,$2B,04-03-2022,Auto & transportation,Bruchsal,Germany,Europe,2011,$599M,btov Partners, Geely, Intel Capital,,3
Acorns,$2B,09-03-2022,Fintech,Irvine,United States,North America,2012,$507M,e.ventures, Bain Capital Ventures, Greycroft,,3
Aledade,$2B,19-01-2021,Health,Bethesda,United States,North America,2014,$295M,Venrock, CVF Capital Partners, ARCH Venture Partners,,3
CoinSwitch Kuber,$2B,06-10-2021,Fintech,Bangalore,India,Asia,2017,$301M,Tiger Global Management, Sequoia Capital India, Ribbit Capital,,3
ConcertAI,$2B,29-03-2022,Artificial Intelligence,Boston,United States,North America,2018,$300M,Sixth Street Partners, Declaration Partners, Maverick Ventures Israel,,3
Eightfold.ai,$2B,27-10-2020,Internet software & services,Santa Clara,United States,North America,2016,$397M,Foundation Capital, Institutional Venture Partners, General Catalyst,,3
FirstCry,$2B,07-02-2020,E-commerce & direct-to-consumer,Pune,India,Asia,2010,$441M,SoftBank Group, SAIF Partners India, Valiant Capital Partners,,3
Forto,$2B,21-06-2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2016,$593M,Cherry Ventures, Northzone Ventures, Global Founders Capital,,3
GoCardless,$2B,08-02-2022,Fintech,London,United Kingdom,Europe,2011,$529M,Accel, Passion Capital, Balderton Capital,,3
InVision,$2B,01-11-2017,Internet software & services,New York,United States,North America,2011,$349M,FirstMark Capital, Tiger Global Management, ICONIQ Capital,,3
Jeeves,$2B,14-03-2022,Fintech,Orlando,United States,North America,2019,$268M,Tencent Holdings, CRV, Clocktower Technology Ventures,,3
Medable,$2B,26-10-2021,Internet software & services,Palo Alto,United States,North America,2013,$507M,GSR Ventures, Sapphire Ventures, Streamlined Ventures,,3
Moveworks,$2B,30-06-2021,Artificial intelligence,Mountain View,United States,North America,2016,$305M,Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers,,3
MX Technologies,$2B,13-01-2021,Fintech,Lehi,United States,North America,2010,$450M,Point72 Ventures, Pelion Venture Partners, Commerce Ventures,,3
PayFit,$2B,06-01-2022,Fintech,London,United Kingdom,Europe,2016,$496M,Accel, frst, Kima Ventures,,3
ReCharge,$2B,06-05-2021,Fintech,Los Angeles,United States,North America,2017,$277M,ICONIQ Growth, Bain Capital Ventures, Summit Partners,,3
Roofstock,$2B,10-03-2022,Fintech,Oakland,United States,North America,2015,$365M,Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners,,3
Urban Company,$2B,27-04-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2014,$371M,VY Capital, Accel, Elevation Capital,,3
Rokt,$2B,16-12-2021,Internet software & services,New York,United States,North America,2012,$487M,Square Peg Capital, TDM Growth Partners, Tiger Global Management,,3
Starling Bank,$2B,08-03-2021,Fintech,London,United Kingdom,Europe,2014,$791M,JTC Group, Qatar Investment Authority, Fidelity Investment,,3
Ankorstore,$2B,10-01-2022,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$422M,Global Founders Capital, Aglae Ventures, Alven Capital,,3
4Paradigm,$2B,19-12-2018,Artificial intelligence,Beijing,China,Asia,2015,$1B,Sequoia Capital China, China Construction Bank, Bank of China,,3
Advance Intelligence Group,$2B,23-09-2021,Artificial intelligence,,Singapore,Asia,2016,$536M,Vision Plus Capital, GSR Ventures, ZhenFund,,3
Aiven,$2B,18-10-2021,Internet software & services,Helsinki,Finland,Europe,2016,$210M,Institutional Venture Partners, Atomico, Earlybird Venture Capital,,3
Akulaku,$2B,15-02-2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,$438M,DCM Ventures, IDG Capital, Siam Commercial Bank,,3
Apeel Sciences,$2B,26-05-2020,Other,Goleta,United States,North America,2012,$640M,Upfront Ventures, Tao Capital Partners, Andreessen Horowitz,,3
AppsFlyer,$2B,21-01-2020,Mobile & telecommunications,San Francisco,United States,North America,2011,$293M,Magma Venture Partners, Pitango Venture Capital, Qumra Capital,,3
Avant,$2B,17-12-2012,Artificial intelligence,Chicago,United States,North America,2012,$658M,RRE Ventures, Tiger Global, August Capital,,3
Aviatrix,$2B,08-09-2021,Internet software & services,Santa Clara,United States,North America,2014,$341M,Ignition Partners, Formation 8, CRV,,3
BlaBlaCar,$2B,16-09-2015,Auto & transportation,Paris,France,Europe,2006,$449M,Accel Partners, Index Ventures, Insight Venture Partners,,3
Black Sesame Technologies,$2B,22-09-2021,Artificial intelligence,Shanghai,China,Asia,2016,$115M,Northern Light Venture Capital, Xiaomi, FutureX Capital,,3
Bunq,$2B,18-06-2021,Fintech,Amsterdam,Netherlands,Europe,2013,$281M,Undisclosed,,,,1
Calm,$2B,06-02-2019,Consumer & retail,San Francisco,United States,North America,2012,$218M,Insight Venture Partners, TPG Growth, Sound Ventures,,3
Chipper Cash,$2B,31-05-2021,Fintech,San Francisco,United States,North America,2017,$302M,Deciens Capital, Bezos Expeditions, 500 Startups,,3
Clearco,$2B,20-04-2021,Fintech,Toronto,Canada,North America,2015,$433M,Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners,,3
ClickHouse,$2B,28-10-2021,Data management & analytics,Portola Valley,United States,North America,2021,$300M,Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital,,3
Clip,$2B,10-06-2021,Fintech,Mexico City,Mexico,North America,2012,$381M,Alta Ventures Mexico, General Atlantic, SoftBank Group,,3
Cloudinary,$2B,15-02-2022,Internet software & services,Santa Clara,United States,North America,2011,$100M,Blackstone, Bessemer Venture Partners,,,2
Deliverr,$2B,22-11-2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,$456M,8VC, Activant Capital, GLP Capital Partners,,3
Divvy Homes,$2B,13-08-2021,Fintech,San Francisco,United States,North America,2017,$370M,Andreessen Horowitz, Caffeinated Capital, SciFi VC,,3
Dremio,$2B,06-01-2021,Data management & analytics,Santa Clara,United States,North America,2015,$410M,Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners,,3
Druva,$2B,20-06-2019,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,Nexus Venture Partners, Tenaya Capital, Sequoia Capital,,3
Everlaw,$2B,10-03-2020,Internet software & services,Oakland,United States,North America,2010,$299M,K9 Ventures, Menlo Ventures, Andreessen Horowitz,,3
Exotec,$2B,17-01-2022,Hardware,Croix,France,Europe,2015,$450M,Breega Capital, Iris Capital, 360 Capital Partners,,3
Formlabs,$2B,01-08-2018,Hardware,Somerville,United States,North America,2011,$251M,Pitango Venture Capital, DFJ Growth Fund, Foundry Group,,3
Guoquan Shihui,$2B,17-03-2021,Consumer & retail,Shanghai,China,Asia,2017,$523M,Tiantu Capital, CMB International Capital, Vision Knight Capital,,3
Hive,$2B,21-04-2021,Artificial intelligence,San Francisco,United States,North America,2013,$121M,Tomales Bay Capital, Bain & Company, General Catalyst,,3
HuiMin,$2B,05-09-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,Zheshang Venture Capital, GP Capital, Western Capital Management,,3
ISN,$2B,17-12-2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,Blackstone,,,,1
Iterable,$2B,15-06-2021,Internet software & services,San Francisco,United States,North America,2013,$342M,CRV, Blue Cloud Ventures, Index Ventures,,3
Kajabi,$2B,04-05-2021,Internet software & services,Irvine,United States,North America,2010,$550M,Meritech Capital Partners, Tiger Global Management, Spectrum Equity,,3
Kaseya,$2B,27-03-2019,Cybersecurity,Miami,United States,North America,2000,$545M,Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund,,3
Keep,$2B,19-05-2020,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital,,3
KRY,$2B,27-04-2021,Health,Stockholm,Sweden,Europe,2014,$569M,Index Ventures, Creandum, Accel,,3
Loggi,$2B,05-06-2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,Qualcomm Ventures, SoftBank Group, Monashees+,,3
LTK,$2B,22-11-2021,Internet software & services,Dallas,United States,North America,2011,$315M,SoftBank Group, Maverick Capital,,,2
Lunar,$2B,12-07-2021,Fintech,Aarhus,Denmark,Europe,2015,$448M,SEED Capital, Greyhound Capital, Socii Capital,,3
Mafengwo,$2B,23-05-2019,Travel,Beijing,China,Asia,2010,$503M,Qiming Venture Partners, Capital Today, General Atlantic,,3
Magic Leap,$2B,21-10-2014,Hardware,Plantation,United States,North America,2010,$3B,Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz,,3
Misfits Market,$2B,21-04-2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,Accel, D1 Capita Partners, Greenoaks Capital Management,,3
Modern Treasury,$2B,06-10-2021,Fintech,San Francisco,United States,North America,2018,$183M,Benchmark, Altimeter Capital, Quiet Capital,,3
MURAL,$2B,20-07-2021,Internet software & services,San Francisco,United States,North America,2011,$192M,Insight Partners, Tiger Global Management, Gradient Ventures,,3
